Sample	Genotype	Region	Country	Date	Host	D13	PinfSSR8	PinfSSR4	Pi04	Pi70	PinfSSR6	Pi63	PiG11	Pi02	PinfSSR11	PinfSSR2	Pi4B	Missing	Present
10NL060	EU_33_A2	NA	NA	NA	NA	118/118/0	260/266/0	284/284/0	170/170/0	192/192/0	242/244/0	279/279/0	158/206/0	258/266/0	341/341/0	173/175/0	205/213/0	0	12
06_SS2_09	EU_8_A1	NA	NA	NA	NA	118/136/0	260/266/0	288/294/0	166/170/0	192/192/0	242/244/0	273/279/0	160/160/0	268/268/0	331/341/0	173/175/0	205/217/0	0	12
06_SS7_05	EU_2_A1	NA	NA	NA	NA	136/136/0	260/264/266	288/290/292	166/170/0	192/195/0	242/244/0	270/273/279	154/156/206	258/268/0	341/355/0	173/173/0	217/217/0	0	12
07_4707A	EU_13_A2	Europe	UK	NA	NA	136/140/154	260/266/0	284/294/0	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
07_4734B	EU_13_A2	Europe	UK	NA	NA	136/158/0	260/266/0	284/294/0	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
07_4774A	EU_13_A2	Europe	UK	NA	NA	136/152/0	260/266/0	284/294/0	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
07_5202A	EU_13_A2	Europe	UK	NA	NA	136/154/0	260/266/0	284/294/0	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
07_5622A	EU_2_A1	Europe	UK	NA	NA	136/136/0	260/264/266	288/290/294	166/170/0	192/195/0	242/244/0	270/273/279	154/156/206	258/268/0	341/355/0	173/173/0	217/217/0	0	12
07_5762B	EU_13_A2	Europe	UK	NA	NA	136/154/0	260/266/0	284/294/0	166/170/0	192/192/0	240/244/0	273/279/0	154/160/164	266/268/0	341/341/0	173/173/0	205/213/0	0	12
07_5974E	EU_23_A1	NA	NA	NA	NA	136/210/0	260/266/0	288/294/0	170/170/0	192/192/0	244/244/0	270/279/0	142/156/0	266/268/270	331/341/0	173/175/0	213/217/0	0	12
08_6650D	EU_13_A2	Europe	UK	NA	NA	136/158/0	260/266/0	284/292/294	166/170/0	192/192/0	240/244/0	273/279/0	154/160/164	266/268/0	341/341/0	173/173/0	205/213/0	0	12
09_7722B	EU_23_A1	Europe	UK	NA	NA	136/210/0	260/266/0	288/294/0	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
09_7734D	EU_6_A1	NA	NA	NA	NA	NA	260/266/0	284/292/296	166/170/0	192/195/0	244/244/0	273/279/0	160/160/0	266/268/0	341/355/0	173/175/0	213/217/0	1	11
09PL093	EU_13_A2	Europe	Poland	NA	NA	136/140/158	260/266/0	284/294/298	166/170/0	192/192/0	240/244/0	273/279/0	154/156/160	266/268/0	341/341/0	173/173/0	205/213/0	0	12
10_7814A	EU_23_A1	NA	UK	NA	NA	136/210/0	260/266/0	288/294/296	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
10_8058A	EU_2_A1	NA	UK	NA	NA	132/132/0	260/264/266	288/290/292	166/170/0	192/195/0	242/244/0	270/273/279	154/156/206	258/268/0	341/355/0	173/173/0	217/217/0	0	12
10PL074	EU_34_A1	NA	NA	NA	NA	NA	260/266/0	288/292/294	166/170/0	192/192/0	240/242/244	270/273/279	156/162/0	268/268/0	341/341/0	173/173/0	205/217/0	1	11
2005_12637	EU_3_A2	NA	NA	2005	NA	118/136/0	260/266/0	284/288/294	166/170/0	192/195/0	242/244/0	270/279/0	154/160/0	268/268/0	331/341/0	173/173/0	213/217/0	0	12
2005_14635	EU_10_A2	NA	NA	2005	NA	136/136/0	260/266/0	284/288/0	166/170/0	192/192/0	240/242/244	273/279/0	162/208/0	268/268/0	331/341/0	173/175/0	213/217/0	0	12
2006_3872G	EU_6_A1	NA	NA	NA	NA	NA	260/266/0	284/292/296	166/170/0	192/195/0	244/244/0	273/279/0	160/160/0	258/266/268	341/355/0	173/175/0	213/217/0	1	11
2006_4180_10	EU_1_A1	NA	NA	NA	NA	136/136/0	260/266/0	284/294/0	166/170/0	192/192/0	244/244/0	270/279/0	142/162/0	266/268/0	341/355/0	173/175/0	213/217/0	0	12
2006_4388E	EU_17_A2	NA	NA	NA	NA	118/118/0	266/266/0	294/294/0	160/168/0	192/192/0	244/244/0	270/270/0	160/162/0	266/268/0	341/341/0	173/175/0	213/217/0	0	12
2014_Amiga_14003A	EU_36_A2	NA	NA	2014	NA	136/152/156	260/266/0	288/294/0	166/170/0	192/195/0	240/242/244	270/279/0	150/154/160	268/268/0	341/341/0	173/175/0	205/213/217	0	12
2015_12346B	EU_8_A1	NA	NA	2015	NA	118/118/0	260/266/0	288/294/0	166/170/0	192/192/0	242/244/0	273/279/0	162/162/0	268/268/0	331/341/0	173/175/0	205/217/0	0	12
2016_12738A	EU_37_A2	NA	NA	NA	NA	NA	260/266/0	284/298/0	168/168/0	192/192/0	242/244/0	279/279/0	148/154/0	268/268/0	341/355/0	173/173/0	213/217/0	1	11
